seed,turn,budget,v_index,v_dp,v_lp,rel_gap,idx_over_lp
1,7,1600,1.486644,1.486644,1.508646,-0.0,0.985416
1,7,2500,1.575677,1.575677,1.589089,0.0,0.99156
1,7,4000,1.695847,1.695847,1.708838,-0.0,0.992398
1,8,600,1.486283,1.486283,1.50572,-0.0,0.987091
1,8,1200,1.537801,1.537801,1.566191,-0.0,0.981873
1,8,1600,1.585667,1.585667,1.603611,-0.0,0.98881
1,8,2500,1.673262,1.673262,1.682709,-0.0,0.994386
1,8,4000,1.791001,1.791001,1.800252,-0.0,0.994861
1,9,600,1.689419,1.689419,1.704214,-0.0,0.991319
1,9,1200,1.741625,1.741625,1.766341,-0.0,0.986007
1,9,1600,1.791158,1.791158,1.805857,-0.0,0.99186
1,9,2500,1.88498,1.88498,1.890807,-0.0,0.996918
1,9,4000,2.008852,2.008852,2.015292,-0.0,0.996805
1,10,600,1.762105,1.762105,1.772526,-0.0,0.994121
1,10,1200,1.818466,1.818466,1.837375,-0.0,0.989709
1,10,1600,1.86753,1.86753,1.876797,-0.0,0.995062
1,10,2500,1.959099,1.959099,1.959822,0.0,0.999631
1,10,4000,2.073249,2.073249,2.075221,0.0,0.99905
1,11,600,1.875043,1.875043,1.879917,0.0,0.997407
1,11,1200,1.928341,1.928341,1.942645,0.0,0.992637
1,11,1600,1.978655,1.978655,1.982427,0.0,0.998097
1,11,2500,2.025241,2.025241,2.066592,0.0,0.979991
1,11,4000,2.150423,2.165653,2.184135,0.007032,0.984565
1,12,600,1.952162,2.001555,1.999408,0.024678,0.97637
1,12,1200,2.052767,2.052767,2.062185,0.0,0.995433
1,12,1600,2.096116,2.102113,2.101426,0.002853,0.997473
1,12,2500,2.149307,2.149307,2.183599,0.0,0.984296
1,12,4000,2.274489,2.274489,2.30553,-0.0,0.986536
1,13,600,2.029139,2.082938,2.038496,0.025828,0.99541
1,13,1200,2.176412,2.176412,2.181758,0.0,0.99755
1,13,1600,2.176412,2.207708,2.220633,0.014176,0.980086
1,13,2500,2.272492,2.272492,2.303399,0.0,0.986582
1,13,4000,2.399885,2.399885,2.427272,0.0,0.988717
1,14,600,2.064174,2.119006,2.083246,0.025876,0.990845
1,14,1200,2.320772,2.320772,2.322175,-0.0,0.999396
1,14,1600,2.320772,2.320772,2.362248,-0.0,0.982442
1,14,2500,2.418886,2.418886,2.446162,-0.0,0.988849
1,14,4000,2.545737,2.545737,2.570173,-0.0,0.990492
1,15,600,1.994364,2.098561,2.022582,0.049652,0.986049
1,15,1200,2.271738,2.322959,2.320102,0.02205,0.979154
1,15,1600,2.322959,2.322959,2.36065,0.0,0.984034
1,15,2500,2.418724,2.418724,2.441042,0.0,0.990857
1,15,4000,2.543949,2.543949,2.56333,0.0,0.992439
1,16,600,2.027477,2.14092,2.069969,0.052988,0.979472
1,16,1200,2.410072,2.410072,2.454511,-0.0,0.981895
1,16,1600,2.461695,2.461695,2.494207,-0.0,0.986965
1,16,2500,2.559982,2.559982,2.579591,0.0,0.992398
1,16,4000,2.685096,2.685096,2.701961,-0.0,0.993758
1,17,600,1.987683,2.10713,2.043582,0.056687,0.972647
1,17,1200,2.453954,2.453954,2.493862,-0.0,0.983998
1,17,1600,2.505162,2.505162,2.532974,-0.0,0.98902
1,17,2500,2.599335,2.599335,2.61609,-0.0,0.993595
