model,seed,arm,budget,turn,input_tok,peak_tok,latency_s
gemma2:2b,2,full,1200,1,1016,551,20.899753
gemma2:2b,2,full,1200,2,1477,795,38.106538
gemma2:2b,2,full,1200,3,1929,1034,39.858661
gemma2:2b,2,full,1200,4,2378,1272,41.747226
gemma2:2b,2,full,1200,5,2829,1511,43.553487
gemma2:2b,3,full,1200,0,547,306,5.582405
gemma2:2b,3,full,1200,1,1014,551,20.829355
gemma2:2b,3,full,1200,2,1480,796,38.664786
gemma2:2b,3,full,1200,3,1935,1035,40.178392
gemma2:2b,3,full,1200,4,2390,1275,41.808836
gemma2:2b,3,full,1200,5,2841,1514,44.118151
gemma2:2b,4,full,1200,0,544,305,5.685031
gemma2:2b,4,full,1200,1,1011,550,20.999461
gemma2:2b,4,full,1200,2,1472,794,37.722901
gemma2:2b,4,full,1200,3,1924,1033,39.675378
gemma2:2b,4,full,1200,4,2378,1272,42.096027
gemma2:2b,4,full,1200,5,2829,1511,43.811093
gemma2:2b,0,recency,1200,0,548,306,21.313704
gemma2:2b,0,recency,1200,1,1013,551,36.366529
gemma2:2b,0,recency,1200,2,1477,795,38.170568
gemma2:2b,0,recency,1200,3,1926,1033,39.610234
gemma2:2b,0,recency,1200,4,1937,1039,70.624479
gemma2:2b,0,recency,1200,5,1952,1047,71.47255
gemma2:2b,1,recency,1200,0,544,305,20.087947
gemma2:2b,1,recency,1200,1,1011,550,35.873084
gemma2:2b,1,recency,1200,2,1476,795,38.629987
gemma2:2b,1,recency,1200,3,1928,1034,40.121049
gemma2:2b,1,recency,1200,4,1945,1041,71.823549
gemma2:2b,1,recency,1200,5,1957,1048,71.380446
gemma2:2b,2,recency,1200,0,546,306,20.384979
gemma2:2b,2,recency,1200,1,1016,551,36.53259
gemma2:2b,2,recency,1200,2,1477,795,37.984882
gemma2:2b,2,recency,1200,3,1929,1034,38.918458
gemma2:2b,2,recency,1200,4,1936,1039,70.670814
gemma2:2b,2,recency,1200,5,1941,1044,70.289423
gemma2:2b,3,recency,1200,0,547,306,20.237197
gemma2:2b,3,recency,1200,1,1014,551,36.17698
gemma2:2b,3,recency,1200,2,1480,796,38.067342
gemma2:2b,3,recency,1200,3,1935,1035,39.711123
gemma2:2b,3,recency,1200,4,1948,1042,72.044312
gemma2:2b,3,recency,1200,5,1957,1048,71.379144
gemma2:2b,4,recency,1200,0,544,305,20.123385
gemma2:2b,4,recency,1200,1,1011,550,35.783953
gemma2:2b,4,recency,1200,2,1472,794,37.691076
gemma2:2b,4,recency,1200,3,1924,1033,39.918896
gemma2:2b,4,recency,1200,4,1938,1040,72.107363
gemma2:2b,4,recency,1200,5,1946,1046,70.627948
gemma2:2b,0,reactive_afm,1200,0,548,306,6.343744
gemma2:2b,0,reactive_afm,1200,1,1013,551,20.923307
gemma2:2b,0,reactive_afm,1200,2,1477,795,38.084751
gemma2:2b,0,reactive_afm,1200,3,1926,1033,38.997825
gemma2:2b,0,reactive_afm,1200,4,1996,1075,57.82602
gemma2:2b,0,reactive_afm,1200,5,2064,1116,75.905284
gemma2:2b,1,reactive_afm,1200,0,544,305,7.307734
gemma2:2b,1,reactive_afm,1200,1,1011,550,20.880868
gemma2:2b,1,reactive_afm,1200,2,1476,795,37.984421
gemma2:2b,1,reactive_afm,1200,3,1928,1034,39.990095
gemma2:2b,1,reactive_afm,1200,4,1997,1075,58.761759
gemma2:2b,1,reactive_afm,1200,5,2067,1117,76.584294
gemma2:2b,2,reactive_afm,1200,0,546,306,6.640046
gemma2:2b,2,reactive_afm,1200,1,1016,551,20.866914
gemma2:2b,2,reactive_afm,1200,2,1477,795,37.950105
gemma2:2b,2,reactive_afm,1200,3,1929,1034,39.798069
gemma2:2b,2,reactive_afm,1200,4,1972,1062,39.844335
gemma2:2b,2,reactive_afm,1200,5,2038,1103,75.44491
gemma2:2b,3,reactive_afm,1200,0,547,306,7.080721
gemma2:2b,3,reactive_afm,1200,1,1014,551,20.848795
gemma2:2b,3,reactive_afm,1200,2,1480,796,38.164469
gemma2:2b,3,reactive_afm,1200,3,1935,1035,39.720163
gemma2:2b,3,reactive_afm,1200,4,2002,1076,58.374765
gemma2:2b,3,reactive_afm,1200,5,2067,1117,75.294824
gemma2:2b,4,reactive_afm,1200,0,544,305,5.828479
gemma2:2b,4,reactive_afm,1200,1,1011,550,20.846095
gemma2:2b,4,reactive_afm,1200,2,1472,794,37.941731
gemma2:2b,4,reactive_afm,1200,3,1924,1033,39.46108
gemma2:2b,4,reactive_afm,1200,4,1992,1074,57.192209
gemma2:2b,4,reactive_afm,1200,5,2061,1115,60.467313
gemma2:2b,0,foveance,1200,0,548,306,5.895096
gemma2:2b,0,foveance,1200,1,1013,551,20.933625
gemma2:2b,0,foveance,1200,2,1477,795,37.822937
gemma2:2b,0,foveance,1200,3,1926,1033,39.33458
gemma2:2b,0,foveance,1200,4,1996,1075,4.956164
gemma2:2b,0,foveance,1200,5,2064,1116,5.644491
gemma2:2b,1,foveance,1200,0,544,305,6.299779
gemma2:2b,1,foveance,1200,1,1011,550,20.959202
gemma2:2b,1,foveance,1200,2,1476,795,38.429473
gemma2:2b,1,foveance,1200,3,1928,1034,40.16225
gemma2:2b,1,foveance,1200,4,1997,1075,5.083736
gemma2:2b,1,foveance,1200,5,2067,1117,5.773632
gemma2:2b,2,foveance,1200,0,546,306,5.570916
gemma2:2b,2,foveance,1200,1,1016,551,20.868889
gemma2:2b,2,foveance,1200,2,1477,795,38.583116
gemma2:2b,2,foveance,1200,3,1929,1034,39.958964
gemma2:2b,2,foveance,1200,4,1972,1062,41.030189
gemma2:2b,2,foveance,1200,5,2038,1103,5.826862
gemma2:2b,3,foveance,1200,0,547,306,5.625956
gemma2:2b,3,foveance,1200,1,1014,551,21.023198
gemma2:2b,3,foveance,1200,2,1480,796,38.542789
gemma2:2b,3,foveance,1200,3,1935,1035,39.756399
gemma2:2b,3,foveance,1200,4,2002,1076,4.939338
gemma2:2b,3,foveance,1200,5,2067,1117,5.036348
gemma2:2b,4,foveance,1200,0,544,305,6.219324
gemma2:2b,4,foveance,1200,1,1011,550,20.981055
gemma2:2b,4,foveance,1200,2,1472,794,38.198091
gemma2:2b,4,foveance,1200,3,1924,1033,39.717862
gemma2:2b,4,foveance,1200,4,1992,1074,5.971499
gemma2:2b,4,foveance,1200,5,2061,1115,5.739823
llama3.2:1b,0,truncate,400,0,463,306,20.484942
llama3.2:1b,0,truncate,400,1,481,317,13.880601
llama3.2:1b,0,truncate,400,2,500,329,12.956557
llama3.2:1b,0,truncate,400,3,512,335,12.905539
llama3.2:1b,0,truncate,400,4,531,348,13.173276
llama3.2:1b,0,truncate,400,5,552,361,12.915903
llama3.2:1b,0,truncate,400,6,569,371,13.186664
llama3.2:1b,0,truncate,400,7,589,384,12.752174
llama3.2:1b,1,truncate,400,0,463,305,12.244304
llama3.2:1b,1,truncate,400,1,483,318,13.234801
llama3.2:1b,1,truncate,400,2,504,329,12.134067
llama3.2:1b,1,truncate,400,3,516,336,12.105511
llama3.2:1b,1,truncate,400,4,535,349,12.158146
llama3.2:1b,1,truncate,400,5,553,361,11.991071
llama3.2:1b,1,truncate,400,6,572,372,12.305157
